metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,License Type_code
ccp,5590,11468,7546,10011,34615,0.49,0.45,0.38,0.43,-0.06,0.36,0.4,0.24,0.51,-0.04,-0.1,0.99,0.96,0.0,,-1.0
ccp,25647,62278,34931,62217,185073,0.48,0.47,0.33,0.42,-0.11,0.29,0.36,0.21,0.51,-0.07,-0.1,1.0,0.91,0.0,,0.0
ccp,145,217,196,165,723,0.5,0.43,0.47,0.43,-0.01,0.47,0.47,0.29,0.5,-0.01,-0.12,0.99,1.0,0.0,,1.0
ccp,2684,6401,4238,6081,19404,0.47,0.45,0.36,0.39,-0.14,0.31,0.4,0.21,0.51,-0.09,-0.15,0.99,0.94,0.01,,2.0
ccp,8024,28188,15892,20209,72313,0.5,0.39,0.33,0.34,-0.14,0.28,0.36,0.18,0.54,-0.07,-0.18,0.97,0.92,0.0,,3.0
ccp,6473,12462,9449,10331,38715,0.49,0.43,0.41,0.41,-0.06,0.39,0.43,0.25,0.51,-0.04,-0.14,0.99,0.98,0.0,,4.0
ccp,857,1247,1289,972,4365,0.48,0.42,0.49,0.4,-0.05,0.47,0.51,0.27,0.5,-0.04,-0.17,0.98,1.0,0.0,,5.0
ccp,679,1127,1038,898,3742,0.48,0.42,0.46,0.4,-0.06,0.43,0.48,0.26,0.51,-0.05,-0.17,0.98,1.0,0.0,,6.0
ccp,200,361,323,277,1161,0.48,0.41,0.45,0.38,-0.07,0.42,0.47,0.25,0.51,-0.05,-0.18,0.98,0.99,0.0,,7.0
ccp,37052,225024,71683,214670,548429,0.48,0.46,0.2,0.34,-0.26,0.15,0.24,0.11,0.52,-0.09,-0.12,1.0,0.72,0.01,,8.0
ccp,392,902,637,592,2523,0.51,0.39,0.41,0.38,-0.02,0.4,0.41,0.24,0.52,-0.01,-0.16,0.96,0.98,0.0,,9.0
ccp,1854,3078,2564,2127,9623,0.51,0.41,0.46,0.42,0.01,0.47,0.45,0.28,0.51,0.01,-0.13,0.98,1.0,0.0,,10.0
commit_days,12570,14522,4492,3031,34615,0.78,0.45,0.49,0.74,0.63,0.81,0.24,0.63,0.5,0.56,0.42,0.99,1.0,0.25,,-1.0
commit_days,70944,74573,22636,16920,185073,0.79,0.47,0.51,0.76,0.6,0.81,0.23,0.64,0.5,0.57,0.5,1.0,1.0,0.25,,0.0
commit_days,253,314,99,57,723,0.78,0.43,0.49,0.72,0.68,0.82,0.24,0.62,0.5,0.56,0.37,0.99,1.0,0.25,,1.0
commit_days,7106,8152,2487,1659,19404,0.79,0.45,0.49,0.74,0.64,0.81,0.23,0.63,0.5,0.57,0.43,0.99,1.0,0.25,,2.0
commit_days,22119,33853,10227,6114,72313,0.77,0.39,0.45,0.68,0.75,0.78,0.23,0.58,0.51,0.51,0.27,0.97,0.99,0.22,,3.0
commit_days,13204,16655,5256,3600,38715,0.77,0.43,0.48,0.72,0.65,0.79,0.24,0.6,0.5,0.53,0.36,0.99,1.0,0.22,,4.0
commit_days,1442,1915,621,387,4365,0.77,0.42,0.47,0.7,0.67,0.79,0.24,0.59,0.5,0.52,0.32,0.98,1.0,0.22,,5.0
commit_days,1262,1661,504,315,3742,0.78,0.42,0.47,0.71,0.7,0.8,0.23,0.61,0.5,0.55,0.35,0.98,1.0,0.24,,6.0
commit_days,377,547,137,100,1161,0.8,0.41,0.44,0.73,0.79,0.79,0.2,0.61,0.51,0.56,0.35,0.98,0.99,0.26,,7.0
commit_days,195170,218199,78508,56552,548429,0.75,0.46,0.5,0.71,0.55,0.78,0.26,0.59,0.5,0.51,0.39,1.0,1.0,0.2,,8.0
commit_days,801,1187,352,183,2523,0.79,0.39,0.46,0.69,0.78,0.81,0.23,0.6,0.51,0.55,0.29,0.96,0.99,0.25,,9.0
commit_days,3031,4156,1486,950,9623,0.75,0.41,0.47,0.67,0.62,0.76,0.26,0.55,0.51,0.48,0.27,0.98,1.0,0.18,,10.0
commit_period,10592,11200,7814,5009,34615,0.63,0.45,0.53,0.58,0.28,0.68,0.41,0.45,0.5,0.27,0.15,0.99,1.0,0.05,,-1.0
commit_period,64326,52601,44608,23538,185073,0.63,0.47,0.59,0.59,0.24,0.73,0.46,0.49,0.5,0.27,0.2,1.0,0.98,0.06,,0.0
commit_period,226,231,182,84,723,0.63,0.43,0.56,0.55,0.29,0.73,0.44,0.46,0.49,0.29,0.11,0.99,0.99,0.06,,1.0
commit_period,6252,6184,4455,2513,19404,0.64,0.45,0.55,0.58,0.29,0.71,0.42,0.47,0.49,0.29,0.17,0.99,0.99,0.06,,2.0
commit_period,19814,28428,15652,8419,72313,0.67,0.39,0.49,0.56,0.43,0.7,0.36,0.45,0.5,0.33,0.09,0.97,1.0,0.08,,3.0
commit_period,11645,12355,9556,5159,38715,0.62,0.43,0.55,0.55,0.27,0.69,0.44,0.44,0.49,0.26,0.1,0.99,0.99,0.05,,4.0
commit_period,1205,1504,1032,624,4365,0.62,0.42,0.51,0.54,0.29,0.66,0.41,0.42,0.5,0.25,0.07,0.98,1.0,0.05,,5.0
commit_period,1077,1263,902,500,3742,0.63,0.42,0.53,0.54,0.29,0.68,0.42,0.43,0.5,0.26,0.08,0.98,1.0,0.05,,6.0
commit_period,336,395,289,141,1161,0.63,0.41,0.54,0.54,0.31,0.7,0.42,0.44,0.49,0.28,0.07,0.98,1.0,0.06,,7.0
commit_period,176405,165865,130842,75317,548429,0.62,0.46,0.56,0.57,0.25,0.7,0.44,0.46,0.5,0.26,0.15,1.0,0.99,0.05,,8.0
commit_period,708,908,631,276,2523,0.64,0.39,0.53,0.53,0.36,0.72,0.41,0.44,0.49,0.3,0.05,0.96,1.0,0.07,,9.0
commit_period,2610,3564,2078,1371,9623,0.64,0.41,0.49,0.56,0.35,0.66,0.37,0.43,0.5,0.28,0.09,0.98,1.0,0.06,,10.0
commits,12547,14526,4488,3054,34615,0.78,0.45,0.49,0.74,0.63,0.8,0.24,0.62,0.5,0.56,0.42,0.99,1.0,0.25,,-1.0
commits,70719,74571,22638,17145,185073,0.79,0.47,0.5,0.76,0.6,0.8,0.23,0.64,0.5,0.57,0.49,1.0,1.0,0.25,,0.0
commits,252,314,99,58,723,0.78,0.43,0.49,0.72,0.67,0.81,0.24,0.62,0.5,0.56,0.37,0.99,1.0,0.25,,1.0
commits,7004,8166,2473,1761,19404,0.78,0.45,0.49,0.74,0.64,0.8,0.23,0.62,0.5,0.56,0.43,0.99,1.0,0.24,,2.0
commits,22093,33727,10353,6140,72313,0.77,0.39,0.45,0.68,0.74,0.78,0.23,0.57,0.51,0.51,0.27,0.97,0.99,0.22,,3.0
commits,13199,16618,5293,3605,38715,0.77,0.43,0.48,0.71,0.64,0.79,0.24,0.6,0.5,0.53,0.36,0.99,1.0,0.22,,4.0
commits,1440,1914,622,389,4365,0.77,0.42,0.47,0.7,0.67,0.79,0.25,0.59,0.5,0.52,0.32,0.98,1.0,0.22,,5.0
commits,1251,1658,507,326,3742,0.78,0.42,0.47,0.71,0.69,0.79,0.23,0.6,0.5,0.54,0.34,0.98,1.0,0.23,,6.0
commits,378,548,136,99,1161,0.8,0.41,0.44,0.74,0.79,0.79,0.2,0.62,0.51,0.56,0.35,0.98,0.99,0.26,,7.0
commits,194907,218325,78382,56815,548429,0.75,0.46,0.5,0.71,0.55,0.77,0.26,0.59,0.5,0.51,0.39,1.0,1.0,0.2,,8.0
commits,803,1188,351,181,2523,0.79,0.39,0.46,0.7,0.78,0.82,0.23,0.6,0.51,0.55,0.29,0.96,0.99,0.25,,9.0
commits,3010,4154,1488,971,9623,0.74,0.41,0.47,0.67,0.62,0.76,0.26,0.55,0.51,0.47,0.27,0.98,1.0,0.18,,10.0
files_edited,10287,12394,6620,5314,34615,0.66,0.45,0.49,0.61,0.35,0.66,0.35,0.46,0.5,0.31,0.19,0.99,1.0,0.07,,-1.0
files_edited,57294,65455,31754,30570,185073,0.66,0.47,0.48,0.64,0.36,0.65,0.33,0.48,0.5,0.32,0.26,1.0,1.0,0.08,,0.0
files_edited,201,271,142,109,723,0.65,0.43,0.47,0.59,0.37,0.65,0.34,0.44,0.5,0.3,0.14,0.99,1.0,0.07,,1.0
files_edited,6043,7022,3617,2722,19404,0.67,0.45,0.5,0.63,0.38,0.69,0.34,0.49,0.5,0.35,0.23,0.99,1.0,0.09,,2.0
files_edited,19274,28130,15950,8959,72313,0.66,0.39,0.49,0.55,0.4,0.68,0.36,0.44,0.5,0.3,0.08,0.97,1.0,0.07,,3.0
files_edited,11216,14376,7535,5588,38715,0.66,0.43,0.48,0.6,0.38,0.67,0.34,0.46,0.5,0.32,0.17,0.99,1.0,0.08,,4.0
files_edited,1270,1650,886,559,4365,0.67,0.42,0.49,0.59,0.41,0.69,0.35,0.47,0.5,0.34,0.15,0.98,1.0,0.09,,5.0
files_edited,1084,1409,756,493,3742,0.67,0.42,0.49,0.59,0.4,0.69,0.35,0.46,0.5,0.33,0.15,0.98,1.0,0.08,,6.0
files_edited,335,430,254,142,1161,0.66,0.41,0.51,0.57,0.38,0.7,0.37,0.46,0.5,0.32,0.12,0.98,1.0,0.08,,7.0
files_edited,136600,200761,95946,115122,548429,0.62,0.46,0.42,0.59,0.28,0.54,0.32,0.39,0.51,0.22,0.14,1.0,0.98,0.04,,8.0
files_edited,660,1014,525,324,2523,0.66,0.39,0.47,0.56,0.43,0.67,0.34,0.44,0.51,0.31,0.09,0.96,1.0,0.08,,9.0
files_edited,2682,3682,1960,1299,9623,0.66,0.41,0.48,0.58,0.4,0.67,0.35,0.45,0.5,0.31,0.13,0.98,1.0,0.08,,10.0
message_length_avg,8840,9178,9836,6761,34615,0.52,0.45,0.54,0.47,0.05,0.57,0.52,0.35,0.5,0.05,-0.05,0.99,1.0,0.0,,-1.0
message_length_avg,54529,42916,54293,33335,185073,0.53,0.47,0.59,0.5,0.06,0.62,0.56,0.38,0.5,0.06,0.0,1.0,0.98,0.0,,0.0
message_length_avg,179,200,213,131,723,0.52,0.43,0.54,0.46,0.06,0.58,0.52,0.34,0.49,0.06,-0.08,0.99,0.99,0.0,,1.0
message_length_avg,5123,4996,5643,3642,19404,0.52,0.45,0.55,0.48,0.05,0.58,0.53,0.36,0.49,0.05,-0.05,0.99,0.99,0.0,,2.0
message_length_avg,11780,23443,20637,16453,72313,0.49,0.39,0.45,0.36,-0.07,0.42,0.47,0.24,0.51,-0.05,-0.2,0.97,0.99,0.0,,3.0
message_length_avg,8911,10459,11452,7893,38715,0.5,0.43,0.53,0.44,0.01,0.53,0.52,0.32,0.5,0.01,-0.12,0.99,1.0,0.0,,4.0
message_length_avg,932,1322,1214,897,4365,0.52,0.42,0.49,0.43,0.04,0.51,0.48,0.31,0.5,0.03,-0.11,0.98,1.0,0.0,,5.0
message_length_avg,758,1098,1067,819,3742,0.5,0.42,0.49,0.42,-0.01,0.48,0.49,0.29,0.5,-0.01,-0.14,0.98,1.0,0.0,,6.0
message_length_avg,255,354,330,222,1161,0.52,0.41,0.5,0.44,0.06,0.53,0.48,0.32,0.5,0.05,-0.11,0.98,1.0,0.0,,7.0
message_length_avg,152689,136290,160417,99033,548429,0.53,0.46,0.57,0.49,0.06,0.61,0.54,0.37,0.49,0.07,-0.03,1.0,0.99,0.0,,8.0
message_length_avg,525,711,828,459,2523,0.49,0.39,0.54,0.39,-0.01,0.53,0.54,0.29,0.49,-0.0,-0.2,0.96,1.0,0.0,,9.0
message_length_avg,2217,2445,3197,1764,9623,0.48,0.41,0.56,0.41,-0.01,0.56,0.57,0.31,0.49,-0.01,-0.17,0.98,0.99,0.0,,10.0
refactor_mle,5862,12489,6525,9739,34615,0.53,0.45,0.36,0.47,0.05,0.38,0.34,0.26,0.51,0.03,-0.03,0.99,0.94,0.0,,-1.0
refactor_mle,28216,68692,28517,59648,185073,0.52,0.47,0.31,0.5,0.05,0.32,0.29,0.24,0.51,0.03,-0.0,1.0,0.89,0.0,,0.0
refactor_mle,131,240,173,179,723,0.51,0.43,0.42,0.43,0.01,0.42,0.42,0.27,0.51,0.0,-0.1,0.99,0.98,0.0,,1.0
refactor_mle,3260,7139,3500,5505,19404,0.54,0.45,0.35,0.48,0.07,0.37,0.33,0.27,0.51,0.04,-0.02,0.99,0.93,0.0,,2.0
refactor_mle,8191,31485,12595,20042,72313,0.55,0.39,0.29,0.39,0.01,0.29,0.29,0.2,0.55,0.0,-0.1,0.97,0.87,0.0,,3.0
refactor_mle,7061,13679,8232,9743,38715,0.54,0.43,0.4,0.46,0.06,0.42,0.38,0.28,0.51,0.04,-0.05,0.99,0.97,0.0,,4.0
refactor_mle,951,1458,1078,878,4365,0.55,0.42,0.46,0.47,0.12,0.52,0.43,0.33,0.51,0.09,-0.05,0.98,1.0,0.01,,5.0
refactor_mle,749,1283,882,828,3742,0.54,0.42,0.44,0.46,0.09,0.47,0.41,0.3,0.51,0.06,-0.06,0.98,0.99,0.0,,6.0
refactor_mle,234,415,269,243,1161,0.56,0.41,0.43,0.47,0.13,0.49,0.39,0.31,0.51,0.09,-0.05,0.98,0.99,0.01,,7.0
refactor_mle,32095,264485,32222,219627,548429,0.54,0.46,0.12,0.5,0.09,0.13,0.11,0.11,0.53,0.02,-0.0,1.0,0.52,0.0,,8.0
refactor_mle,438,997,542,546,2523,0.57,0.39,0.39,0.45,0.15,0.45,0.35,0.29,0.52,0.08,-0.07,0.96,0.96,0.01,,9.0
refactor_mle,2008,2954,2688,1973,9623,0.52,0.41,0.49,0.43,0.03,0.5,0.48,0.3,0.5,0.03,-0.12,0.98,1.0,0.0,,10.0
same_date_duration_avg,6158,8136,10878,9443,34615,0.41,0.45,0.49,0.36,-0.2,0.39,0.57,0.23,0.5,-0.18,-0.25,0.99,1.0,0.02,,-1.0
same_date_duration_avg,29967,43691,53518,57897,185073,0.4,0.47,0.45,0.36,-0.24,0.34,0.55,0.21,0.5,-0.21,-0.24,1.0,0.99,0.03,,0.0
same_date_duration_avg,146,179,234,164,723,0.45,0.43,0.53,0.38,-0.1,0.47,0.57,0.27,0.5,-0.09,-0.21,0.99,1.0,0.01,,1.0
same_date_duration_avg,3589,4775,5864,5176,19404,0.43,0.45,0.49,0.38,-0.16,0.41,0.55,0.25,0.5,-0.14,-0.21,0.99,1.0,0.01,,2.0
same_date_duration_avg,7788,27706,16374,20445,72313,0.49,0.39,0.33,0.32,-0.17,0.28,0.37,0.17,0.54,-0.08,-0.19,0.97,0.92,0.01,,3.0
same_date_duration_avg,6622,9669,12242,10182,38715,0.42,0.43,0.49,0.35,-0.19,0.39,0.56,0.23,0.5,-0.16,-0.26,0.99,1.0,0.02,,4.0
same_date_duration_avg,727,1100,1436,1102,4365,0.42,0.42,0.5,0.34,-0.2,0.4,0.57,0.22,0.5,-0.16,-0.28,0.98,1.0,0.02,,5.0
same_date_duration_avg,676,924,1241,901,3742,0.43,0.42,0.51,0.35,-0.16,0.43,0.57,0.24,0.5,-0.14,-0.26,0.98,1.0,0.01,,6.0
same_date_duration_avg,190,292,392,287,1161,0.42,0.41,0.5,0.33,-0.21,0.4,0.57,0.22,0.5,-0.17,-0.3,0.98,1.0,0.02,,7.0
same_date_duration_avg,91479,115213,181494,160243,548429,0.38,0.46,0.5,0.34,-0.27,0.36,0.61,0.21,0.5,-0.25,-0.3,1.0,1.0,0.04,,8.0
same_date_duration_avg,433,647,892,551,2523,0.43,0.39,0.53,0.33,-0.16,0.44,0.58,0.23,0.49,-0.13,-0.3,0.96,1.0,0.01,,9.0
same_date_duration_avg,1494,2521,3121,2487,9623,0.42,0.41,0.48,0.32,-0.22,0.38,0.55,0.21,0.5,-0.17,-0.29,0.98,1.0,0.02,,10.0
