year,cases,developers,cur_message_length_avg,first_message_length_avg,message_length_avg_delta,cur_high_message_length_avg,first_high_message_length_avg,high_message_length_avg_delta,cur_refactor_mle,first_refactor_mle,refactor_mle_delta,cur_high_refactor_mle,first_high_refactor_mle,high_refactor_mle_delta,cur_commit_hours,first_commit_hours,commit_hours_delta,cur_high_commit_hours,first_high_commit_hours,high_commit_hours_delta
2020,1961,1538,613.12653575497643,185.54831112466471,427.57822463031158,0.48138704742478317,0.47628760836308009,0.0050994390617032093,0.12604895805850261,0.13056417058926925,-0.0045152125307666305,0.266700662927078,0.280979092299847,-0.014278429372768995,15.768995410504843,15.455889852116265,0.31310555838857729,0.34625191228964813,0.31157572667006633,0.034676185619581856
2019,1313,1014,192.4560182208231,169.25411300197123,23.20190521885192,0.50266565118050266,0.46686976389946683,0.035795887281035811,0.13018964624286827,0.13680243414731422,-0.0066127879044459471,0.27341964965727339,0.30997715156131,-0.03655750190403656,15.859862909367857,15.784463061690786,0.075399847677075443,0.35948210205635944,0.35110434120335104,0.0083777608530083789
2018,791,705,145.17748086944448,128.45048928401116,16.726991585433311,0.40455120101137809,0.38685208596713022,0.017699115044247784,0.15802261481891369,0.15917360821122434,-0.0011509933923106429,0.31352718078381792,0.33122629582806579,-0.0176991150442478,16.437420986093549,16.352718078381795,0.084702907711757272,0.38179519595448796,0.38432364096080907,-0.0025284450063211127
2017,1599,1513,87.4506649051177,72.267110075033457,15.183554830084256,0.25203252032520324,0.19387116948092559,0.058161350844277669,0.127195383900963,0.13444447595182685,-0.00724909205086384,0.24452782989368357,0.2682926829268294,-0.023764853033145725,15.939962476547837,16.656660412757972,-0.71669793621013123,0.34771732332707944,0.41275797373358347,-0.065040650406504072
2016,1360,1269,86.6642511397961,73.269096124624284,13.395155015171834,0.25955882352941184,0.21470588235294125,0.044852941176470582,0.13424434923565681,0.14407492793056947,-0.0098305786949126547,0.26470588235294129,0.27132352941176469,-0.0066176470588235354,16.21985294117647,16.769852941176474,-0.54999999999999993,0.35955882352941176,0.43970588235294122,-0.080147058823529432
2015,981,917,94.725780790447757,70.3039529410941,24.421827849353658,0.27624872579001025,0.19266055045871561,0.0835881753312946,0.15239912141730952,0.15211706615955525,0.00028205525775427151,0.28848114169215094,0.2844036697247706,0.0040774719673802341,16.161060142711516,16.7420998980632,-0.58103975535168206,0.35983690112130484,0.41794087665647295,-0.058103975535168176
2014,705,664,156.56445888388089,112.21040435562792,44.354054528252981,0.37163120567375885,0.29361702127659578,0.078014184397163122,0.17608441070290476,0.17593210675659615,0.00015230394630858326,0.34751773049645396,0.33191489361702137,0.015602836879432615,16.353191489361706,16.869503546099292,-0.51631205673758873,0.36595744680851072,0.44255319148936167,-0.076595744680851049
2013,398,361,83.885333091776729,74.032281676001574,9.8530514157751643,0.32160804020100492,0.22864321608040206,0.092964824120603029,0.15218502411870574,0.16118531588542434,-0.0090002917667185885,0.29145728643216079,0.36934673366834175,-0.077889447236180923,16.253768844221106,17.050251256281406,-0.79648241206030146,0.39949748743718594,0.47236180904522607,-0.072864321608040211
2012,256,229,114.95506236634128,100.2400722448007,14.714990121540561,0.4375,0.37109375,0.066406250000000028,0.15846124692220467,0.15869255089243714,-0.00023130397023246835,0.30468750000000006,0.35937500000000006,-0.0546875,15.66796875,16.8046875,-1.1367187500000002,0.33984375,0.44140625000000006,-0.1015625
2011,158,150,107.99324512863784,90.007171486584326,17.986073642053491,0.310126582278481,0.32911392405063294,-0.018987341772151917,0.15178396929272045,0.1726081607538672,-0.020824191461146741,0.27848101265822789,0.36708860759493678,-0.088607594936708875,16.39240506329114,16.886075949367086,-0.4936708860759495,0.36708860759493672,0.42405063291139239,-0.056962025316455694
2010,107,103,106.05328860874305,96.275535827946584,9.7777527807964724,0.32710280373831774,0.3364485981308411,-0.0093457943925233568,0.15268680114675254,0.1677698797962531,-0.015083078649500592,0.28971962616822428,0.31775700934579443,-0.028037383177570079,16.056074766355142,16.616822429906541,-0.56074766355140193,0.3925233644859813,0.45794392523364486,-0.065420560747663573
2009,62,57,98.9694930988079,94.353824117755451,4.6156689810524494,0.43548387096774194,0.45161290322580649,-0.01612903225806453,0.17670176438738106,0.14704286070749917,0.029658903679881877,0.37096774193548387,0.29032258064516131,0.080645161290322578,16.451612903225804,17.822580645161292,-1.3709677419354838,0.45161290322580638,0.5,-0.048387096774193575
2008,31,30,105.62443053418686,121.72873117341078,-16.104300639223929,0.5161290322580645,0.58064516129032251,-0.064516129032258049,0.14483108421007135,0.14442452543788911,0.00040655877218230552,0.25806451612903225,0.25806451612903231,0.0,18.387096774193548,16.483870967741936,1.9032258064516132,0.70967741935483875,0.48387096774193544,0.22580645161290328
2007,25,22,233.77682520591597,185.04409128573275,48.732733920183222,0.43999999999999995,0.6399999999999999,-0.19999999999999998,0.22051358968316731,0.20308398313876469,0.0174296065444026,0.3600000000000001,0.56,-0.19999999999999998,16.04,16.679999999999996,-0.6399999999999999,0.32,0.36,-0.04
2006,24,24,122.21904120802668,128.38148138274119,-6.1624401747144981,0.37499999999999994,0.625,-0.24999999999999997,0.18014143456215317,0.21297663302136782,-0.032835198459214662,0.41666666666666669,0.37499999999999994,0.041666666666666644,16.541666666666664,15.0,1.5416666666666667,0.375,0.24999999999999997,0.12499999999999999
2005,25,24,203.71274496387872,122.828161279923,80.884583683955682,0.55999999999999994,0.52,0.040000000000000022,0.25596315411119908,0.16762714235423673,0.08833601175696236,0.52,0.32,0.2,17.439999999999998,16.0,1.4400000000000002,0.6,0.27999999999999997,0.32
2004,5,5,65.559617353835776,59.023719970780142,6.5358973830556426,0.2,0.2,0.0,0.12251353690871584,0.10065173504794478,0.021861801860771076,0.2,0.2,0.0,14.8,16.8,-2.0,0.2,0.4,-0.2
2003,11,11,109.7293959936863,131.89531730233327,-22.165921308646976,0.36363636363636365,0.63636363636363635,-0.27272727272727276,0.19851277255995695,0.1608235278026959,0.037689244757261035,0.54545454545454541,0.18181818181818182,0.36363636363636365,16.09090909090909,16.272727272727273,-0.18181818181818166,0.36363636363636365,0.36363636363636365,0.0
2002,3,3,104.80426161188412,106.59594939467449,-1.7916877827903619,0.33333333333333337,0.66666666666666674,-0.33333333333333331,0.0633958022450763,0.13364233780087056,-0.070246535555794284,0.0,0.33333333333333337,-0.33333333333333337,19.333333333333332,18.333333333333332,1.0,1.0,0.33333333333333331,0.66666666666666674
2001,1,1,85.538043478260846,41.530612244897952,44.007431233362894,1.0,0.0,1.0,0.059695652173913039,0.07155102040816326,-0.011855368234250221,0.0,0.0,0.0,18.0,17.0,1.0,1.0,0.0,1.0
2000,1,1,167.3369565217391,200.5,-33.1630434782609,1.0,1.0,0.0,0.24708695652173915,0.46716279069767441,-0.22007583417593526,1.0,1.0,0.0,14.0,22.0,-8.0,0.0,1.0,-1.0
1999,3,3,214.28438665193707,124.14998009486986,90.1344065570672,1.0,0.66666666666666663,0.33333333333333337,0.23084781586933859,0.1543720752391427,0.07647574063019591,0.33333333333333331,0.0,0.33333333333333331,18.0,16.666666666666668,1.3333333333333333,0.66666666666666663,0.33333333333333337,0.33333333333333331
1997,2,2,137.32630034405992,129.04269746646796,8.2836028775919743,1.0,1.0,0.0,0.090010996424475465,0.0781499254843517,0.011861070940123765,0.0,0.0,0.0,18.0,12.5,5.5,0.5,0.0,0.5