f,message_length,refactor,hours,cnt
0,158.84819714196672,0.12241780390841929,1.0,61.856039668346632
1,161.220827648961,0.1214422396407077,1.0,59.799501692365567
2,154.63708104898424,0.11947593634831009,1.0,60.427608008429928
3,148.70021069792037,0.11794256969257816,1.0,61.038565902661496
4,143.40612159645,0.11741097293711725,1.0,62.145856218723267
5,143.00417176176586,0.1151006487533591,1.0,63.563054046325462
6,141.53628136025816,0.11423266226214625,1.0,59.795924197695463
7,131.76138484130647,0.11197741722042805,1.0,60.9857652625863
8,141.5455365104753,0.11120066959365886,1.0,64.5801286215408
9,128.11349773207144,0.11208597912778094,1.0,67.1458382596359
10,125.13609632251368,0.11173271124858228,1.0,66.878898592051286
11,125.74751591459858,0.11288604891553297,1.0,65.296557837198961
12,124.22547579830007,0.1114548085906981,1.0,66.521190138540391
13,128.46719387730008,0.11082690243688281,1.0,68.357957724210024
14,127.87543229627788,0.11147806678438382,1.0,68.912206625491308
15,150.58987276345596,0.11214869616965679,1.0,68.321252631350561
16,151.44111225491423,0.11400254031770733,1.0,65.959018394018088
17,141.034314534961,0.11577561438800443,1.0,63.81361036535543
18,142.73942626645112,0.11742570471946914,1.0,64.167607604709545
19,142.66662584499483,0.11643091086478471,1.0,65.468953104689547
20,145.15187610609402,0.11855212138159892,1.0,67.399430357412982
21,148.24529665367902,0.1188866387628468,1.0,66.571409890943343
22,152.73541211879581,0.12024257894510826,1.0,64.0705131956228
23,161.29209190415756,0.12193581481023563,1.0,61.638006721997414