cases,developers,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
5522,296,1,1,1,0,0,1,0,0,1,0,1
2413,261,0,0,1,0,0,1,0,1,1,0,0
7112,149,0,1,1,0,1,1,0,1,0,0,1
1189,193,0,1,1,0,1,1,0,0,1,0,0
25706,2577,0,1,1,0,1,1,1,1,1,1,1
28961,830,1,1,1,0,0,1,1,0,1,0,1
665,110,0,1,1,0,1,1,0,0,1,0,1
62,8,1,1,1,1,1,1,0,1,1,1,0
460,79,1,0,1,0,1,1,1,1,1,0,0
65241,602,0,1,1,0,0,1,0,1,1,1,1
89495,655,1,1,1,0,0,1,1,1,1,0,1
2188,313,0,1,1,0,1,1,1,0,0,1,1
747,101,0,1,1,0,1,1,0,0,0,0,1
844,110,0,1,1,0,1,1,1,0,1,1,0
1332,120,0,1,1,0,1,1,1,0,1,0,0
6697,164,1,1,1,0,1,1,0,1,1,0,1
1727,320,0,0,1,0,0,1,0,0,0,0,1
2222,653,1,0,1,0,0,1,1,0,0,0,1
428,122,1,0,1,0,1,1,1,1,0,0,1
1695,196,1,0,1,0,0,1,0,1,0,0,0
1638,126,0,1,1,0,0,1,0,0,1,1,0
1966,134,0,0,1,0,0,1,1,1,1,0,0
331,156,0,0,1,0,1,1,1,0,1,0,1
61767,365,0,1,1,0,0,1,0,1,0,0,0
1981,173,1,0,1,0,0,1,1,1,0,1,0
147,85,0,0,1,0,1,1,1,0,1,1,0
652,225,0,0,1,0,1,1,1,0,0,1,1
28479,396,0,1,1,0,0,1,0,1,1,0,1
169,83,1,0,1,0,1,1,1,0,1,0,0
8760,186,1,1,1,0,1,1,1,1,1,1,0
37913,325,1,1,1,0,0,1,0,1,0,1,0
57529,492,0,1,1,0,0,1,0,1,0,0,1
946,203,0,0,1,0,0,1,0,0,0,0,0
242,115,0,0,1,0,1,1,1,0,1,0,0
3047,495,1,0,1,0,0,1,1,1,0,0,1
3614,187,0,0,1,0,0,1,1,1,0,0,0
566,196,1,0,1,0,1,1,0,1,1,0,0
2570,197,1,1,1,0,0,1,0,0,1,1,0
495,159,0,0,1,0,0,1,1,0,0,1,0
27145,1960,0,0,1,0,0,1,1,1,0,1,1
11056,2465,1,0,1,0,0,1,1,0,0,1,1
457,132,1,0,1,0,1,1,1,1,1,0,1
37,12,1,1,1,1,0,1,0,1,1,0,1
14036,446,1,1,1,0,0,1,1,0,0,1,0
601,122,1,0,1,0,0,1,0,1,1,0,0
39,7,1,1,1,1,0,1,0,1,1,1,0
21005,1201,0,1,1,0,1,1,1,1,0,1,1
7005,323,0,1,1,0,0,1,0,0,0,0,1
12117,260,1,1,1,0,1,1,1,1,0,0,1
1299,50,1,1,1,1,0,1,1,1,0,0,1
104,27,1,1,1,1,0,1,1,1,1,0,1
24,16,1,0,1,0,0,0,1,0,0,1,1
1113,170,0,0,1,0,1,1,1,1,0,0,0
171453,1899,1,1,1,0,0,1,1,1,1,1,1
918,216,1,0,1,0,1,1,0,1,0,0,0
3779,245,1,1,1,0,1,1,1,0,1,0,1
67744,839,0,1,1,0,0,1,1,1,1,0,1
11775,266,0,1,1,0,1,1,1,1,0,1,0
2925,677,1,0,1,0,0,1,0,0,0,1,1
931,165,0,0,1,0,1,1,1,1,1,0,0
826,241,0,0,1,0,0,1,0,0,1,0,1
9123,335,1,1,1,0,1,1,0,1,0,1,0
422,86,1,0,1,0,1,1,1,1,1,1,0
2566,401,0,0,1,0,1,1,0,1,0,0,0
15083,186,1,1,1,0,1,1,1,1,1,0,0
11487,515,1,1,1,0,0,1,0,0,0,0,1
44,11,1,1,1,1,0,1,1,1,1,1,0
384,110,1,0,1,0,0,1,1,0,1,1,0
355,158,1,0,1,0,1,1,1,0,0,1,0
68225,2547,1,1,1,0,0,1,1,0,1,1,1
8327,1130,1,0,1,0,0,1,1,1,1,1,1
466,23,1,1,1,1,1,1,0,1,0,1,0
6344,427,1,1,1,0,0,1,0,0,0,1,0
65936,575,1,1,1,0,0,1,0,1,1,1,1
574,254,1,0,1,0,1,1,0,0,0,1,0
825,24,1,1,1,1,1,1,0,1,0,0,0
11642,284,1,1,1,0,1,1,0,1,1,1,1
1483,380,1,0,1,0,1,1,1,0,1,1,1
421,38,1,1,1,1,1,1,1,1,0,0,1
6252,563,1,1,1,0,1,1,1,0,1,1,1
46,16,1,1,1,1,1,1,1,1,1,1,0
47,14,1,1,1,1,1,1,1,1,1,0,1
371,185,0,0,1,0,1,1,0,0,1,1,0
809,156,1,0,1,0,1,1,0,1,1,1,1
9037,457,0,0,1,0,0,1,0,1,0,0,1
7301,1530,1,0,1,0,0,1,1,0,1,1,1
6989,149,1,1,1,0,1,1,0,1,0,0,1
1139,286,0,0,1,0,1,1,0,1,1,1,0
1547,142,0,0,1,0,0,1,1,1,1,1,0
658,246,1,0,1,0,0,1,0,0,0,0,0
4796,471,1,0,1,0,0,1,0,1,0,1,1
8289,414,0,1,1,0,0,1,0,0,1,1,1
1162,119,0,1,1,0,1,1,0,0,0,1,1
17304,223,0,1,1,0,1,1,1,1,0,0,0
14147,193,0,1,1,0,1,1,1,1,1,0,0
2596,320,1,1,1,0,1,1,1,0,0,1,0
747,137,0,0,1,0,1,1,1,1,0,1,0
2147,150,0,1,1,0,0,1,0,0,1,0,0
460,208,1,0,1,0,0,1,0,0,1,0,1
41,10,1,1,1,1,1,1,1,1,1,0,0
2734,184,0,0,1,0,0,1,1,1,0,1,0
983,207,0,0,1,0,0,1,0,0,0,1,0
28024,987,1,1,1,0,0,1,0,0,0,1,1
3428,542,0,0,1,0,0,1,0,0,0,1,1
853,39,1,1,1,1,0,1,0,1,0,1,1
579,284,1,0,1,0,1,1,0,0,0,0,0
15806,373,0,1,1,0,1,1,0,1,0,0,0
8387,269,0,1,1,0,1,1,0,1,1,1,0
93432,276,0,1,1,0,0,1,1,1,0,0,0
18718,397,1,1,1,0,0,1,1,0,0,0,0
2704,555,0,0,1,0,0,1,1,0,0,0,1
1609,170,0,1,1,0,1,1,1,0,0,0,1
352,121,0,0,1,0,1,1,0,0,0,1,1
572,55,1,1,1,1,0,1,1,1,1,1,1
45121,148,1,1,1,0,0,1,1,1,1,0,0
6159,197,0,1,1,0,0,1,1,0,0,1,0
988,189,1,0,1,0,1,1,0,1,0,1,0
744,232,1,0,1,0,0,1,1,0,0,1,0
18620,1235,1,1,1,0,1,1,1,1,0,1,1
1052,105,1,0,1,0,0,1,1,1,1,1,0
656,123,0,0,1,0,1,1,1,1,1,1,0
11230,308,0,1,1,0,1,1,1,1,1,0,1
13089,231,0,1,1,0,1,1,0,1,0,1,1
561,123,1,0,1,0,1,1,0,1,0,1,1
20280,740,0,0,1,0,0,1,0,1,0,1,1
966,268,0,0,1,0,1,1,1,1,1,0,1
1506,382,0,0,1,0,1,1,0,1,1,0,0
89880,290,1,1,1,0,0,1,1,1,0,0,0
41058,161,0,1,1,0,0,1,1,1,1,0,0
1694,137,1,0,1,0,0,1,1,1,0,0,0
26199,2541,1,1,1,0,1,1,1,1,1,1,1
14774,1876,0,0,1,0,0,1,1,1,1,1,1
145792,781,0,1,1,0,0,1,0,1,0,1,1
5624,751,0,0,1,0,0,1,1,1,1,0,1
414,130,1,0,1,0,1,1,0,0,0,1,1
177,96,1,0,1,0,1,1,0,0,0,0,1
3782,244,0,1,1,0,0,1,0,0,1,0,1
587,243,0,0,1,0,1,1,0,0,0,0,0
4990,1366,0,0,1,0,0,1,1,0,1,1,1
1902,229,1,1,1,0,1,1,0,0,0,1,1
201,127,0,0,1,0,1,1,0,0,1,0,1
1974,181,1,1,1,0,1,1,1,0,1,1,0
61544,303,1,1,1,0,0,1,1,1,0,1,0
5148,549,1,1,1,0,1,1,1,0,0,1,1
1456,463,1,0,1,0,0,1,1,0,1,0,1
15,10,1,0,1,0,0,0,1,0,0,0,1
10586,233,1,1,1,0,1,1,0,1,1,0,0
304,130,1,0,1,0,1,1,1,0,0,0,0
8684,168,1,1,1,0,0,1,1,0,1,0,0
12459,646,1,1,1,0,0,1,0,0,1,1,1
1807,289,1,0,1,0,0,1,0,1,0,0,1
266,89,1,0,1,0,0,1,1,0,1,0,0
264,123,0,0,1,0,1,1,1,0,0,1,0
12262,235,0,1,1,0,1,1,1,1,0,0,1
775,132,0,0,1,0,1,1,0,1,0,0,1
12986,243,1,1,1,0,1,1,1,1,1,0,1
597,148,1,0,1,0,1,1,0,0,1,1,1
289,129,1,0,1,0,1,1,1,0,0,0,1
19669,550,0,1,1,0,0,1,0,0,0,1,1
1300,245,1,1,1,0,1,1,0,0,1,1,0
20797,794,0,1,1,0,0,1,1,0,0,0,1
3344,449,0,0,1,0,0,1,0,1,1,0,1
340,26,1,1,1,1,1,1,1,1,0,0,0
7684,375,1,1,1,0,0,1,0,0,0,0,0
485,205,0,0,1,0,1,1,0,0,0,1,0
11577,768,0,0,1,0,0,1,1,1,0,0,1
1434,172,0,0,1,0,1,1,0,1,0,1,1
6692,84,1,1,1,1,0,1,1,1,0,1,1
969,237,1,0,1,0,1,1,1,1,0,1,1
802,219,0,0,1,0,1,1,0,1,1,0,1
11,9,0,1,1,0,0,0,1,1,0,1,1
246,139,1,0,1,0,0,1,0,0,1,0,0
127734,754,1,1,1,0,0,1,0,1,0,1,1
800,339,1,0,1,0,0,1,0,0,0,0,1
305,85,1,0,1,0,1,1,0,1,1,0,1
986,129,1,0,1,0,0,1,0,1,1,1,0
374,30,1,1,1,1,0,1,1,1,0,0,0
284,22,1,1,1,1,0,1,0,1,0,0,1
305,88,0,0,1,0,0,1,1,0,1,0,0
977,196,1,0,1,0,0,1,0,1,1,0,1
2967,384,1,0,1,0,0,1,0,1,1,1,1
1113,116,1,1,1,0,1,1,0,0,1,0,1
29912,175,1,1,1,0,0,1,1,1,1,1,0
1973,240,0,1,1,0,1,1,0,0,0,0,0
4397,205,0,1,1,0,0,1,0,0,0,1,0
1676,211,1,1,1,0,1,1,0,0,1,1,1
2183,352,1,0,1,0,0,1,1,1,1,0,1
799,165,0,0,1,0,1,1,1,1,0,0,1
7554,370,0,0,1,0,0,1,0,1,0,0,0
247,98,0,0,1,0,0,1,1,0,1,1,0
1586,342,0,0,1,0,1,1,1,1,0,1,1
2228,243,1,0,1,0,0,1,0,1,0,1,0
431,14,1,1,1,1,0,1,0,1,0,1,0
6960,771,0,0,1,0,0,1,0,1,1,1,1
1091,149,0,1,1,0,1,1,0,0,1,1,1
1883,433,1,0,1,0,0,1,0,0,1,1,1
889,124,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,0,0,0,0,1,1,0,0
1,1,0,1,1,0,1,0,1,0,0,1,1
1,1,0,1,1,0,1,0,1,0,0,1,0
1,1,1,1,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0,1,0,0,0,0,1,0
1,1,1,1,1,0,1,0,1,1,1,0,1
1,1,1,1,1,0,1,0,0,1,0,1,1
1,1,0,1,1,0,1,0,1,1,0,0,1
1,1,0,1,1,0,1,0,1,0,1,1,0
1,1,0,1,1,0,1,0,0,0,0,0,0
1,1,1,0,1,1,0,1,1,1,1,0,1
1,1,1,0,1,0,0,0,0,0,0,1,0
1,1,0,0,1,0,0,0,0,0,1,1,1
1,1,0,1,1,0,0,0,0,1,0,0,1
1,1,1,1,1,0,1,0,1,1,1,1,0
1,1,1,0,1,0,1,0,0,0,0,1,0
1,1,0,1,1,0,0,0,0,1,1,0,1
1,1,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0,0,1
1,1,1,1,1,0,1,0,1,0,0,1,1
1,1,0,0,1,0,1,0,1,0,1,0,0
1,1,1,1,1,0,0,0,0,0,1,0,1
1,1,0,0,1,0,1,0,0,1,1,1,0
1,1,0,1,1,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,0,0,0,1
1,1,0,0,1,0,1,0,1,0,0,1,0
1,1,0,0,1,0,1,0,1,0,0,0,1
1,1,0,1,1,0,0,0,1,0,0,0,0
1,1,1,1,1,0,1,0,0,1,0,0,1
1,1,1,0,1,0,1,0,1,0,1,0,0
1,1,1,1,1,1,0,1,1,0,1,0,1
1,1,0,1,1,0,0,0,0,1,1,0,0
1,1,0,0,1,0,0,0,0,0,0,1,1
1,1,0,0,1,0,0,0,0,1,0,1,0
1,1,0,1,1,0,0,0,0,0,1,1,0
1,1,1,0,1,0,1,0,1,1,0,0,0
1,1,1,0,1,0,1,0,1,0,1,1,0
1,1,1,0,1,1,0,1,1,0,1,1,1
1,1,0,0,1,0,0,0,0,0,1,0,1
1,1,0,1,1,0,1,0,1,1,0,0,0
1,1,1,1,1,0,1,0,1,1,0,0,1
1,1,1,1,1,0,1,0,0,1,1,0,0
1,1,0,1,1,0,1,0,1,1,1,0,0
1,1,1,0,1,0,1,0,1,1,1,0,1
1,1,1,1,1,0,1,0,0,1,1,0,1
1,1,1,1,1,0,1,0,1,0,1,1,1
1,1,0,1,1,0,0,0,0,0,0,1,0
1,1,0,0,1,0,1,0,0,0,1,0,0
1,1,1,1,1,0,1,0,0,0,1,1,1
1,1,1,0,1,0,1,0,1,0,0,1,0
1,1,1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,1,1,1,0,0
1,1,1,1,1,0,0,0,1,1,0,0,0
1,1,1,0,1,0,0,0,1,0,0,1,0
1,1,0,1,1,0,0,0,0,1,0,1,1
1,1,1,1,1,0,0,0,0,0,1,1,0
1,1,0,1,1,0,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,0,1,0,0,1
1,1,1,1,1,1,0,1,0,0,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,1,0,1,1,0
1,1,1,0,1,0,1,0,1,0,1,1,1
1,1,0,1,1,0,0,0,0,1,1,1,1
1,1,0,0,1,0,0,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0,1,1
1,1,1,1,1,1,1,1,0,0,1,1,1
1,1,0,1,1,0,1,0,0,1,0,0,0
1,1,0,0,1,0,1,0,1,0,0,0,0
1,1,0,0,1,0,0,0,1,0,1,0,0
1,1,0,0,1,0,0,0,1,0,1,0,1
1,1,1,0,1,0,0,0,0,0,1,1,0
1,1,1,0,1,0,1,0,1,0,0,0,0
1,1,0,1,1,0,0,0,0,0,1,0,1
2,2,1,1,1,0,0,0,1,1,1,0,1
2,2,0,1,1,0,1,0,1,0,1,1,1
2,2,1,0,1,0,0,0,0,0,1,0,1
2,2,1,1,1,0,0,0,0,1,1,0,1
2,1,0,1,1,0,0,0,0,0,0,1,1
2,2,0,1,1,0,0,0,0,0,0,0,0
2,1,0,0,1,0,0,0,1,0,1,1,0
2,2,0,0,1,0,0,0,1,1,0,1,0
2,2,1,0,1,0,1,0,0,0,1,1,0
2,2,0,1,1,0,1,0,1,0,0,0,1
2,2,1,0,1,0,1,0,1,0,0,0,1
2,2,0,0,1,0,1,0,1,0,1,0,1
2,2,0,1,1,0,1,0,1,1,1,0,1
2,2,0,1,1,0,0,0,0,0,0,0,1
2,2,0,0,1,0,0,0,1,1,1,0,0
2,2,0,0,1,0,0,0,1,1,0,0,0
2,2,1,1,1,0,1,0,1,0,1,1,0
2,2,1,1,1,0,1,0,1,0,1,0,0
2,2,1,0,1,0,0,0,1,1,0,0,0
2,2,0,1,1,0,0,0,0,1,0,0,0
2,2,1,0,1,0,1,0,1,1,1,0,0
2,2,1,0,1,0,0,0,0,0,1,1,1
2,2,1,1,1,0,0,0,0,0,0,0,0
2,2,0,1,1,0,0,0,0,0,1,0,0
2,2,1,1,1,1,0,1,1,0,0,1,1
2,2,0,1,1,0,0,0,1,0,0,1,0
2,2,0,1,1,0,1,0,1,0,0,0,0
2,2,1,1,1,0,1,0,0,0,1,0,0
2,2,1,0,1,0,1,0,1,0,0,1,1
2,1,1,1,1,0,0,0,0,1,1,1,0
2,2,0,1,1,0,1,0,0,0,1,1,0
2,2,0,0,1,0,0,0,0,1,1,0,0
2,2,1,1,1,0,0,0,1,0,1,0,0
2,2,1,1,1,0,1,0,0,0,1,1,0
3,3,1,1,1,0,0,0,1,1,0,1,0
3,2,0,1,1,0,1,0,1,1,0,1,1
3,1,0,0,1,0,0,0,0,0,1,0,0
3,3,1,1,1,0,1,0,1,0,0,0,1
3,3,1,0,1,0,0,0,1,0,0,0,0
3,3,1,1,1,0,0,0,1,0,1,1,0
3,3,0,1,1,0,0,0,1,0,1,0,1
3,3,1,0,1,0,0,0,0,0,0,1,1
3,3,1,0,1,0,1,0,1,1,0,1,1
3,3,1,1,1,0,1,0,0,1,0,1,0
3,2,1,1,1,0,0,0,1,0,0,1,0
3,2,1,0,1,0,0,0,1,1,1,1,1
3,3,1,1,1,1,1,0,1,1,0,1,1
3,3,1,0,1,0,0,0,0,1,0,0,0
3,2,0,1,1,0,1,0,0,0,1,0,0
3,3,1,0,1,0,1,0,0,1,1,0,0
3,2,0,0,1,0,1,0,0,1,0,1,0
3,3,0,0,1,0,0,0,1,0,0,1,0
3,3,0,0,1,0,0,0,0,0,0,0,1
3,3,1,1,1,0,1,0,0,0,0,0,1
3,3,1,0,1,0,0,0,0,1,1,1,1
4,4,1,1,1,0,1,0,1,0,0,0,0
4,4,0,0,1,0,1,0,0,1,1,0,0
4,3,1,1,1,0,1,0,0,0,0,1,0
4,4,0,0,1,0,0,0,0,1,1,1,0
4,2,1,0,1,0,1,0,1,1,1,1,1
4,4,0,0,1,0,0,0,0,1,1,0,1
4,4,0,0,1,0,0,0,0,1,0,0,0
4,2,0,0,1,0,0,0,0,1,1,1,1
4,3,0,0,1,0,0,0,1,1,0,0,1
4,3,1,1,1,0,0,0,0,1,0,0,1
4,2,0,0,1,0,1,0,0,0,0,0,0
4,4,1,1,1,0,0,0,1,1,1,0,0
4,3,0,1,1,0,1,0,1,0,1,0,0
4,2,1,1,1,0,0,0,0,1,0,1,0
4,3,0,0,1,0,0,0,1,1,1,0,1
4,3,1,0,1,0,0,0,1,1,1,0,1
4,2,1,1,1,0,1,0,0,0,0,1,1
4,3,1,1,1,0,1,0,1,1,0,0,0
4,4,0,0,1,0,0,0,0,1,0,0,1
5,3,1,0,1,0,0,0,1,1,0,0,1
5,5,1,1,1,0,1,0,0,0,0,0,0
5,5,1,1,1,0,0,0,0,0,0,1,0
5,1,1,1,1,0,0,0,1,0,1,0,1
5,4,1,1,1,0,0,0,1,0,0,0,0
5,5,1,0,1,0,0,0,0,0,0,0,0
5,5,0,1,1,0,0,0,1,0,0,0,1
6,5,1,1,1,0,1,0,1,0,1,0,1
6,5,0,0,1,0,0,0,1,0,1,1,1
6,5,0,0,1,0,0,0,0,1,0,1,1
6,3,1,1,1,0,0,0,0,1,1,1,1
6,4,1,0,1,0,1,0,0,1,0,0,0
6,5,0,1,1,0,0,0,1,1,1,1,1
7,4,1,0,1,0,0,0,1,0,1,0,1
7,6,0,1,1,0,0,0,1,1,1,0,1
7,3,1,0,1,0,0,0,0,1,0,1,0
7,4,0,0,1,0,0,0,1,0,0,0,1
7,5,1,1,1,0,0,0,0,0,0,0,1
7,6,1,0,1,0,0,0,1,0,1,1,1
8,8,0,1,1,0,0,0,1,1,0,0,1
8,7,0,0,1,0,0,0,1,1,1,1,1
8,5,1,1,1,0,0,0,0,0,1,1,1
9,6,1,0,1,0,0,0,1,1,0,1,1
9,6,0,1,1,0,0,0,1,0,1,1,1
10,8,0,0,1,0,0,0,1,0,0,1,1
12,7,0,0,1,0,0,0,1,1,0,1,1
12,10,0,1,1,0,0,0,1,0,0,1,1
12,9,1,1,1,1,1,0,1,1,1,1,1
14,9,1,1,1,0,0,0,0,0,0,1,1
14,13,1,1,1,0,0,0,1,1,0,0,1
14,5,1,1,1,0,0,0,0,1,0,1,1
14,13,1,1,1,0,1,0,1,1,0,1,1
19,14,0,1,1,0,1,0,1,1,1,1,1
20,17,1,1,1,0,0,0,1,0,0,0,1
20,4,1,1,1,1,0,1,0,1,1,0,0
20,13,1,1,1,0,0,0,1,1,1,1,1
23,12,1,1,1,0,1,0,1,1,1,1,1
23,8,1,1,1,1,1,1,0,1,1,0,1
