model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,setting
Tree_ms_md,27659.0,0.0,6084.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_balanced
Tree_default,22853.0,1537.0,4547.0,4806.0,33743.0,0.72,0.82,0.81,0.83,0.02,0.83,0.75,0.71,0.7,0.03,-0.12,0.68,0.7,0.0,,sd_balanced
Tree_ms,27659.0,0.0,6084.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_balanced
Tree_md,27659.0,0.0,6084.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_balanced
RandomForest,27659.0,0.0,6084.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_balanced
AdaBoost,27656.0,7.0,6077.0,3.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_balanced
AdaBoost_n_small,27659.0,0.0,6084.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_balanced
Stump,27659.0,0.0,6084.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_balanced
LogisticRegression,23958.0,1917.0,4167.0,3701.0,33743.0,0.77,0.82,0.83,0.85,0.04,0.87,0.68,0.75,0.71,0.08,-0.06,0.68,0.65,0.02,,sd_balanced
SGDClassifier,26152.0,658.0,5426.0,1507.0,33743.0,0.79,0.82,0.94,0.83,0.01,0.95,0.89,0.79,0.78,0.02,-0.03,0.68,0.34,0.0,,sd_balanced
KNeighborsClassifier,26176.0,668.0,5416.0,1483.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.89,0.79,0.78,0.02,-0.03,0.68,0.34,0.0,,sd_balanced
MLPClassifier,27659.0,0.0,6084.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_balanced
Tree_ms_md,27689.0,0.0,6054.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_3_1
Tree_default,22803.0,1610.0,4444.0,4886.0,33743.0,0.72,0.82,0.81,0.84,0.02,0.82,0.73,0.71,0.7,0.04,-0.12,0.68,0.71,0.01,,sd_3_1
Tree_ms,27689.0,0.0,6054.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_3_1
Tree_md,27689.0,0.0,6054.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_3_1
RandomForest,27689.0,0.0,6054.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_3_1
AdaBoost,27689.0,1.0,6053.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_3_1
AdaBoost_n_small,27689.0,0.0,6054.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_3_1
Stump,27689.0,0.0,6054.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_3_1
LogisticRegression,23799.0,1938.0,4116.0,3890.0,33743.0,0.76,0.82,0.83,0.85,0.04,0.86,0.68,0.75,0.71,0.07,-0.07,0.68,0.66,0.02,,sd_3_1
SGDClassifier,15430.0,2762.0,3292.0,12259.0,33743.0,0.54,0.82,0.55,0.82,0.0,0.56,0.54,0.5,0.54,0.01,-0.34,0.68,0.99,0.0,,sd_3_1
KNeighborsClassifier,26142.0,653.0,5401.0,1547.0,33743.0,0.79,0.82,0.93,0.83,0.01,0.94,0.89,0.79,0.78,0.02,-0.03,0.68,0.35,0.0,,sd_3_1
MLPClassifier,27605.0,82.0,5972.0,84.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,0.99,0.82,0.82,0.0,-0.0,0.68,0.04,0.0,,sd_3_1
Tree_ms_md,21988.0,2349.0,3699.0,5707.0,33743.0,0.72,0.82,0.76,0.86,0.04,0.79,0.61,0.7,0.67,0.08,-0.12,0.68,0.79,0.02,,sd_1_3
Tree_default,23121.0,1530.0,4518.0,4574.0,33743.0,0.73,0.82,0.82,0.84,0.02,0.83,0.75,0.72,0.7,0.04,-0.11,0.68,0.68,0.01,,sd_1_3
Tree_ms,22526.0,2338.0,3710.0,5169.0,33743.0,0.74,0.82,0.78,0.86,0.05,0.81,0.61,0.72,0.68,0.09,-0.1,0.68,0.76,0.02,,sd_1_3
Tree_md,21988.0,2349.0,3699.0,5707.0,33743.0,0.72,0.82,0.76,0.86,0.04,0.79,0.61,0.7,0.67,0.08,-0.12,0.68,0.79,0.02,,sd_1_3
RandomForest,27695.0,0.0,6048.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sd_1_3
AdaBoost,27694.0,5.0,6043.0,1.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,sd_1_3
AdaBoost_n_small,27695.0,0.0,6048.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sd_1_3
Stump,27695.0,0.0,6048.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sd_1_3
LogisticRegression,23702.0,1930.0,4118.0,3993.0,33743.0,0.76,0.82,0.82,0.85,0.04,0.86,0.68,0.75,0.71,0.07,-0.07,0.68,0.67,0.02,,sd_1_3
SGDClassifier,26203.0,623.0,5425.0,1492.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.9,0.79,0.78,0.02,-0.03,0.68,0.34,0.0,,sd_1_3
KNeighborsClassifier,26203.0,665.0,5383.0,1492.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.89,0.79,0.78,0.02,-0.03,0.68,0.34,0.0,,sd_1_3
MLPClassifier,27695.0,0.0,6048.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sd_1_3
Tree_ms_md,27724.0,0.0,6019.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,d_balanced
Tree_default,22918.0,1483.0,4536.0,4806.0,33743.0,0.72,0.82,0.81,0.83,0.02,0.83,0.75,0.71,0.7,0.03,-0.12,0.68,0.69,0.0,,d_balanced
Tree_ms,27658.0,57.0,5962.0,66.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,0.99,0.82,0.82,0.0,-0.0,0.68,0.03,0.0,,d_balanced
Tree_md,27724.0,0.0,6019.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,d_balanced
RandomForest,27724.0,0.0,6019.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,d_balanced
AdaBoost,27723.0,0.0,6019.0,1.0,33743.0,0.82,0.82,1.0,0.82,-0.0,1.0,1.0,0.82,0.82,-0.0,-0.0,0.68,0.0,0.0,,d_balanced
AdaBoost_n_small,27724.0,0.0,6019.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,d_balanced
Stump,21484.0,2395.0,3624.0,6240.0,33743.0,0.71,0.82,0.74,0.86,0.04,0.77,0.6,0.69,0.66,0.08,-0.14,0.68,0.82,0.02,,d_balanced
LogisticRegression,24818.0,1445.0,4574.0,2906.0,33743.0,0.78,0.82,0.87,0.84,0.03,0.9,0.76,0.77,0.74,0.05,-0.05,0.68,0.55,0.01,,d_balanced
SGDClassifier,26931.0,503.0,5516.0,793.0,33743.0,0.81,0.82,0.96,0.83,0.01,0.97,0.92,0.81,0.8,0.02,-0.01,0.68,0.23,0.01,,d_balanced
KNeighborsClassifier,26375.0,532.0,5487.0,1349.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.91,0.79,0.79,0.01,-0.03,0.68,0.31,0.0,,d_balanced
MLPClassifier,27724.0,0.0,6019.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,d_balanced
Tree_ms_md,27768.0,0.0,5975.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_3_1
Tree_default,22854.0,1495.0,4480.0,4914.0,33743.0,0.72,0.82,0.81,0.84,0.02,0.82,0.75,0.71,0.7,0.03,-0.12,0.67,0.7,0.0,,d_3_1
Tree_ms,27768.0,0.0,5975.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_3_1
Tree_md,27768.0,0.0,5975.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_3_1
RandomForest,27768.0,0.0,5975.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_3_1
AdaBoost,27768.0,0.0,5975.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_3_1
AdaBoost_n_small,27768.0,0.0,5975.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_3_1
Stump,21567.0,2379.0,3596.0,6201.0,33743.0,0.71,0.82,0.75,0.86,0.04,0.78,0.6,0.69,0.66,0.08,-0.14,0.67,0.82,0.02,,d_3_1
LogisticRegression,24884.0,1401.0,4574.0,2884.0,33743.0,0.78,0.82,0.87,0.84,0.03,0.9,0.77,0.77,0.74,0.05,-0.05,0.67,0.55,0.01,,d_3_1
SGDClassifier,27113.0,384.0,5591.0,655.0,33743.0,0.81,0.82,0.97,0.83,0.01,0.98,0.94,0.81,0.8,0.01,-0.01,0.67,0.2,0.0,,d_3_1
KNeighborsClassifier,26301.0,558.0,5417.0,1467.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.91,0.79,0.78,0.02,-0.03,0.67,0.33,0.0,,d_3_1
MLPClassifier,27768.0,0.0,5975.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_3_1
Tree_ms_md,24798.0,1458.0,4502.0,2985.0,33743.0,0.78,0.82,0.87,0.85,0.03,0.89,0.76,0.77,0.74,0.05,-0.05,0.67,0.56,0.02,,d_1_3
Tree_default,23043.0,1419.0,4541.0,4740.0,33743.0,0.72,0.82,0.82,0.84,0.01,0.83,0.76,0.71,0.71,0.03,-0.12,0.67,0.69,0.0,,d_1_3
Tree_ms,23271.0,1922.0,4038.0,4512.0,33743.0,0.75,0.82,0.81,0.85,0.03,0.84,0.68,0.73,0.7,0.07,-0.09,0.67,0.7,0.02,,d_1_3
Tree_md,24798.0,1458.0,4502.0,2985.0,33743.0,0.78,0.82,0.87,0.85,0.03,0.89,0.76,0.77,0.74,0.05,-0.05,0.67,0.56,0.02,,d_1_3
RandomForest,27783.0,0.0,5960.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_1_3
AdaBoost,27783.0,0.0,5960.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_1_3
AdaBoost_n_small,27783.0,0.0,5960.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_1_3
Stump,21593.0,2421.0,3539.0,6190.0,33743.0,0.71,0.82,0.74,0.86,0.04,0.78,0.59,0.69,0.66,0.08,-0.14,0.67,0.82,0.02,,d_1_3
LogisticRegression,24860.0,1437.0,4523.0,2923.0,33743.0,0.78,0.82,0.87,0.85,0.03,0.89,0.76,0.77,0.74,0.05,-0.05,0.67,0.56,0.01,,d_1_3
SGDClassifier,15084.0,2858.0,3102.0,12699.0,33743.0,0.53,0.82,0.54,0.83,0.01,0.54,0.52,0.49,0.53,0.01,-0.35,0.67,1.0,0.0,,d_1_3
KNeighborsClassifier,26431.0,561.0,5399.0,1352.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.91,0.8,0.79,0.02,-0.03,0.67,0.31,0.0,,d_1_3
MLPClassifier,27783.0,0.0,5960.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,d_1_3
Tree_ms_md,27684.0,0.0,6059.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_balanced
Tree_default,22768.0,1711.0,4348.0,4916.0,33743.0,0.73,0.82,0.8,0.84,0.02,0.82,0.72,0.71,0.69,0.04,-0.12,0.68,0.71,0.01,,sdc_balanced
Tree_ms,27602.0,84.0,5975.0,82.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,0.99,0.82,0.82,0.0,0.0,0.68,0.04,0.0,,sdc_balanced
Tree_md,27684.0,0.0,6059.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_balanced
RandomForest,27684.0,0.0,6059.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_balanced
AdaBoost,27684.0,0.0,6059.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_balanced
AdaBoost_n_small,27684.0,0.0,6059.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_balanced
Stump,27684.0,0.0,6059.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_balanced
LogisticRegression,23413.0,2074.0,3985.0,4271.0,33743.0,0.76,0.82,0.81,0.85,0.04,0.85,0.66,0.74,0.7,0.08,-0.08,0.68,0.7,0.02,,sdc_balanced
SGDClassifier,22105.0,1714.0,4345.0,5579.0,33743.0,0.71,0.82,0.78,0.84,0.02,0.8,0.72,0.69,0.68,0.04,-0.14,0.68,0.75,0.0,,sdc_balanced
KNeighborsClassifier,26161.0,695.0,5364.0,1523.0,33743.0,0.8,0.82,0.93,0.83,0.01,0.94,0.89,0.79,0.78,0.02,-0.03,0.68,0.35,0.01,,sdc_balanced
MLPClassifier,27579.0,116.0,5943.0,105.0,33743.0,0.82,0.82,0.99,0.82,0.0,1.0,0.98,0.82,0.82,0.01,0.0,0.68,0.06,0.0,,sdc_balanced
Tree_ms_md,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
Tree_default,22599.0,1743.0,4331.0,5070.0,33743.0,0.72,0.82,0.8,0.84,0.02,0.82,0.71,0.71,0.69,0.04,-0.12,0.68,0.73,0.01,,sdc_3_1
Tree_ms,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
Tree_md,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
RandomForest,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
AdaBoost,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
AdaBoost_n_small,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
Stump,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
LogisticRegression,23246.0,2070.0,4004.0,4423.0,33743.0,0.75,0.82,0.81,0.85,0.04,0.84,0.66,0.73,0.7,0.08,-0.09,0.68,0.71,0.02,,sdc_3_1
SGDClassifier,24499.0,1277.0,4797.0,3170.0,33743.0,0.76,0.82,0.87,0.84,0.02,0.89,0.79,0.75,0.74,0.04,-0.07,0.68,0.56,0.01,,sdc_3_1
KNeighborsClassifier,26197.0,653.0,5421.0,1472.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.89,0.79,0.78,0.02,-0.03,0.68,0.34,0.0,,sdc_3_1
MLPClassifier,27594.0,115.0,5959.0,75.0,33743.0,0.82,0.82,0.99,0.82,0.0,1.0,0.98,0.82,0.82,0.01,0.0,0.68,0.05,0.0,,sdc_3_1
Tree_ms_md,23785.0,1844.0,4101.0,4013.0,33743.0,0.76,0.82,0.83,0.85,0.04,0.86,0.69,0.75,0.71,0.07,-0.08,0.67,0.67,0.02,,sdc_1_3
Tree_default,23105.0,1510.0,4435.0,4693.0,33743.0,0.73,0.82,0.82,0.84,0.02,0.83,0.75,0.72,0.7,0.04,-0.11,0.67,0.69,0.0,,sdc_1_3
Tree_ms,23214.0,2220.0,3725.0,4584.0,33743.0,0.75,0.82,0.8,0.86,0.05,0.84,0.63,0.74,0.69,0.09,-0.09,0.67,0.73,0.03,,sdc_1_3
Tree_md,23785.0,1844.0,4101.0,4013.0,33743.0,0.76,0.82,0.83,0.85,0.04,0.86,0.69,0.75,0.71,0.07,-0.08,0.67,0.67,0.02,,sdc_1_3
RandomForest,27798.0,0.0,5945.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,sdc_1_3
AdaBoost,27798.0,0.0,5945.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,sdc_1_3
AdaBoost_n_small,27798.0,0.0,5945.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,sdc_1_3
Stump,27798.0,0.0,5945.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,sdc_1_3
LogisticRegression,23331.0,2138.0,3807.0,4467.0,33743.0,0.75,0.82,0.8,0.86,0.04,0.84,0.64,0.74,0.7,0.08,-0.08,0.67,0.71,0.02,,sdc_1_3
SGDClassifier,15549.0,2774.0,3171.0,12249.0,33743.0,0.54,0.82,0.55,0.83,0.01,0.56,0.53,0.5,0.54,0.01,-0.34,0.67,0.99,0.0,,sdc_1_3
KNeighborsClassifier,26301.0,668.0,5277.0,1497.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.89,0.8,0.78,0.02,-0.03,0.67,0.34,0.01,,sdc_1_3
MLPClassifier,27684.0,111.0,5834.0,114.0,33743.0,0.82,0.82,0.99,0.83,0.0,1.0,0.98,0.82,0.82,0.01,-0.0,0.67,0.06,0.0,,sdc_1_3
